ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
"Applications Received - Scheme wise","RPO Ahmedabad",Normal,7174,51414,567081,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Ahmedabad",Tatkaal,160,1368,14930,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Ahmedabad",FEMALE,3029,21273,233635,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Ahmedabad",MALE,4305,31498,348282,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Ahmedabad",TRANSGENDER,0,1,15,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Ahmedabad","Count of Applications",7334,52772,581932,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ahmedabad","10TH PASS AND ABOVE",2225,17419,203352,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ahmedabad","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ahmedabad","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ahmedabad","GRADUATE AND ABOVE",2302,15019,170231,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ahmedabad",Between_18_to_35,3161,22963,254217,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ahmedabad",Between_36_to_60,2367,17092,188559,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ahmedabad",GreaterThan60,570,4440,48648,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ahmedabad",LessThan18,1236,8277,90508,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Ahmedabad",Challan,196900,2086350,34294600,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Ahmedabad","Credit/ Debit Card",6313700,42177500,491398700,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Ahmedabad",Online,2104000,15199750,185946650,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Ahmedabad",FRESH,4294,31846,354535,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Ahmedabad",PCC,507,2778,26145,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Ahmedabad",REISSUE,2530,18131,201093,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Ahmedabad","No Verification",929,6794,78966,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Ahmedabad","Post Verification",1238,9208,96076,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Ahmedabad","Pre Verification",4383,33793,364867,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Ahmedabad","More than 21 Days",6,95,1859,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Ahmedabad","Within 21 Days",7426,39291,404300,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Amritsar",Normal,3057,16509,184432,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Amritsar",Tatkaal,24,178,2001,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Amritsar",FEMALE,1199,6583,72810,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Amritsar",MALE,1882,10103,113589,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Amritsar",TRANSGENDER,0,0,7,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Amritsar","Count of Applications",3081,16686,186406,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Amritsar","10TH PASS AND ABOVE",1701,9159,105915,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Amritsar","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Amritsar","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Amritsar","GRADUATE AND ABOVE",386,1931,20564,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Amritsar",Between_18_to_35,1696,9227,107351,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Amritsar",Between_36_to_60,817,4434,47720,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Amritsar",GreaterThan60,180,950,9764,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Amritsar",LessThan18,388,2075,21571,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Amritsar",Challan,34900,211950,3112650,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Amritsar","Credit/ Debit Card",2666200,11335900,117887500,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Amritsar",Online,1983150,7913850,105814250,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Amritsar",FRESH,2002,11254,128051,"2019-11-03 04:29:09.831353"
